time;knee_angle_l
1.205;-0.00223262
1.206;0.02105265
1.207;0.04052355
1.208;0.05620513
1.209;0.06812335
1.21;0.07630507
1.211;0.08077799
1.212;0.08157068
1.213;0.07871257
1.214;0.07223398
1.215;0.06216603
1.216;0.04854066
1.217;0.03139065
1.218;0.01074958
1.219;-0.01334817
1.22;-0.04086738
1.221;-0.07177213
1.222;-0.10602605
1.223;-0.14359126
1.224;-0.18442851
1.225;-0.22850065
1.226;-0.27577065
1.227;-0.32619753
1.228;-0.3797392
1.229;-0.43635436
1.23;-0.49600103
1.231;-0.55863645
1.232;-0.62421738
1.233;-0.69269991
1.234;-0.7640393
1.235;-0.8381904
1.236;-0.91510772
1.237;-0.99474533
1.238;-1.07705651
1.239;-1.1619937
1.24;-1.2495091
1.241;-1.3395548
1.242;-1.4320826
1.243;-1.52704337
1.244;-1.62438701
1.245;-1.72406346
1.246;-1.82602284
1.247;-1.9302151
1.248;-2.03658911
1.249;-2.14509257
1.25;-2.2556736
1.251;-2.36828083
1.252;-2.48286278
1.253;-2.5993668
1.254;-2.71773888
1.255;-2.83792587
1.256;-2.95987541
1.257;-3.08353512
1.258;-3.20885139
1.259;-3.33576926
1.26;-3.4642349
1.261;-3.5941956
1.262;-3.72559863
1.263;-3.85839012
1.264;-3.99251499
1.265;-4.12791953
1.266;-4.26455128
1.267;-4.40235779
1.268;-4.54128572
1.269;-4.68128081
1.27;-4.82229022
1.271;-4.96426234
1.272;-5.10714563
1.273;-5.25088795
1.274;-5.3954367
1.275;-5.54074056
1.276;-5.68674925
1.277;-5.83341261
1.278;-5.98068031
1.279;-6.12850197
1.28;-6.27682824
1.281;-6.42561055
1.282;-6.57480058
1.283;-6.72435018
1.284;-6.87421148
1.285;-7.02433736
1.286;-7.17468129
1.287;-7.32519708
1.288;-7.47583893
1.289;-7.62656155
1.29;-7.77732014
1.291;-7.92807039
1.292;-8.07876841
1.293;-8.22937082
1.294;-8.37983477
1.295;-8.53011783
1.296;-8.68017805
1.297;-8.82997404
1.298;-8.97946489
1.299;-9.12861012
1.3;-9.27736981
1.301;-9.42570463
1.302;-9.57357591
1.303;-9.72094538
1.304;-9.86777512
1.305;-10.01402793
1.306;-10.15966741
1.307;-10.30465781
1.308;-10.44896375
1.309;-10.59255009
1.31;-10.73538267
1.311;-10.87742824
1.312;-11.01865425
1.313;-11.15902852
1.314;-11.29851927
1.315;-11.43709576
1.316;-11.57472834
1.317;-11.71138801
1.318;-11.84704627
1.319;-11.98167513
1.32;-12.11524764
1.321;-12.2477379
1.322;-12.37912065
1.323;-12.50937128
1.324;-12.6384658
1.325;-12.7663812
1.326;-12.89309535
1.327;-13.01858681
1.328;-13.14283488
1.329;-13.2658196
1.33;-13.38752181
1.331;-13.50792315
1.332;-13.62700595
1.333;-13.7447533
1.334;-13.8611491
1.335;-13.97617795
1.336;-14.0898251
1.337;-14.20207655
1.338;-14.31291902
1.339;-14.42233997
1.34;-14.53032747
1.341;-14.63687022
1.342;-14.74195764
1.343;-14.84557977
1.344;-14.94772731
1.345;-15.04839156
1.346;-15.14756446
1.347;-15.24523862
1.348;-15.34140722
1.349;-15.43606402
1.35;-15.52920342
1.351;-15.62082046
1.352;-15.71091081
1.353;-15.7994707
1.354;-15.88649688
1.355;-15.97198678
1.356;-16.05593841
1.357;-16.13835035
1.358;-16.21922173
1.359;-16.29855227
1.36;-16.37634224
1.361;-16.45259244
1.362;-16.52730414
1.363;-16.60047919
1.364;-16.67212012
1.365;-16.74222985
1.366;-16.81081167
1.367;-16.8778693
1.368;-16.94340708
1.369;-17.00743002
1.37;-17.0699434
1.371;-17.13095267
1.372;-17.19046368
1.373;-17.24848286
1.374;-17.30501733
1.375;-17.36007424
1.376;-17.41366086
1.377;-17.46578475
1.378;-17.51645404
1.379;-17.5656774
1.38;-17.61346348
1.381;-17.65982091
1.382;-17.70475862
1.383;-17.74828595
1.384;-17.79041264
1.385;-17.83114843
1.386;-17.87050301
1.387;-17.90848638
1.388;-17.9451088
1.389;-17.98038075
1.39;-18.01431275
1.391;-18.04691534
1.392;-18.07819926
1.393;-18.1081754
1.394;-18.13685471
1.395;-18.16424819
1.396;-18.19036694
1.397;-18.21522219
1.398;-18.23882513
1.399;-18.2611869
1.4;-18.28231871
1.401;-18.30223188
1.402;-18.32093777
1.403;-18.33844762
1.404;-18.35477242
1.405;-18.36992332
1.406;-18.38391156
1.407;-18.39674838
1.408;-18.40844479
1.409;-18.41901148
1.41;-18.4284593
1.411;-18.43679921
1.412;-18.4440421
1.413;-18.45019855
1.414;-18.45527876
1.415;-18.45929306
1.416;-18.4622519
1.417;-18.46416564
1.418;-18.46504424
1.419;-18.46489719
1.42;-18.46373412
1.421;-18.46156483
1.422;-18.45839898
1.423;-18.45424575
1.424;-18.44911384
1.425;-18.44301208
1.426;-18.4359495
1.427;-18.42793505
1.428;-18.41897702
1.429;-18.40908292
1.43;-18.3982607
1.431;-18.38651861
1.432;-18.37386458
1.433;-18.36030613
1.434;-18.34585027
1.435;-18.33050424
1.436;-18.31427547
1.437;-18.29717123
1.438;-18.27919826
1.439;-18.26036264
1.44;-18.24067075
1.441;-18.22012925
1.442;-18.19874469
1.443;-18.17652302
1.444;-18.15346957
1.445;-18.12959005
1.446;-18.10489045
1.447;-18.07937671
1.448;-18.05305415
1.449;-18.0259275
1.45;-17.9980019
1.451;-17.96928283
1.452;-17.93977571
1.453;-17.90948538
1.454;-17.87841609
1.455;-17.84657254
1.456;-17.81395984
1.457;-17.78058304
1.458;-17.74644664
1.459;-17.71155461
1.46;-17.67591139
1.461;-17.63952185
1.462;-17.60239088
1.463;-17.56452284
1.464;-17.52592157
1.465;-17.48659143
1.466;-17.44653728
1.467;-17.40576402
1.468;-17.36427604
1.469;-17.32207727
1.47;-17.27917217
1.471;-17.23556578
1.472;-17.19126322
1.473;-17.14626915
1.474;-17.10058775
1.475;-17.05422383
1.476;-17.00718283
1.477;-16.95947032
1.478;-16.91109142
1.479;-16.8620508
1.48;-16.81235386
1.481;-16.76200666
1.482;-16.71101542
1.483;-16.65938596
1.484;-16.60712369
1.485;-16.55423479
1.486;-16.50072615
1.487;-16.44660487
1.488;-16.39187768
1.489;-16.33655091
1.49;-16.2806317
1.491;-16.22412794
1.492;-16.16704774
1.493;-16.10939884
1.494;-16.05118868
1.495;-15.99242549
1.496;-15.93311826
1.497;-15.87327623
1.498;-15.81290833
1.499;-15.75202319
1.5;-15.69063028
1.501;-15.62873984
1.502;-15.56636234
1.503;-15.50350801
1.504;-15.44018682
1.505;-15.37640955
1.506;-15.31218771
1.507;-15.24753305
1.508;-15.18245709
1.509;-15.11697111
1.51;-15.05108716
1.511;-14.98481799
1.512;-14.91817656
1.513;-14.85117562
1.514;-14.78382773
1.515;-14.71614614
1.516;-14.64814479
1.517;-14.57983779
1.518;-14.51123908
1.519;-14.44236242
1.52;-14.37322224
1.521;-14.30383354
1.522;-14.23421151
1.523;-14.16437113
1.524;-14.09432724
1.525;-14.02409523
1.526;-13.953691
1.527;-13.88313058
1.528;-13.81242985
1.529;-13.74160445
1.53;-13.67067055
1.531;-13.59964473
1.532;-13.5285437
1.533;-13.45738395
1.534;-13.38618177
1.535;-13.31495384
1.536;-13.24371726
1.537;-13.17248916
1.538;-13.10128644
1.539;-13.03012569
1.54;-12.95902385
1.541;-12.88799818
1.542;-12.8170659
1.543;-12.74624393
1.544;-12.67554879
1.545;-12.60499728
1.546;-12.53460644
1.547;-12.46439322
1.548;-12.39437414
1.549;-12.32456527
1.55;-12.25498289
1.551;-12.18564344
1.552;-12.11656317
1.553;-12.04775786
1.554;-11.97924276
1.555;-11.91103324
1.556;-11.84314476
1.557;-11.77559254
1.558;-11.70839124
1.559;-11.64155498
1.56;-11.5750979
1.561;-11.50903416
1.562;-11.44337757
1.563;-11.37814138
1.564;-11.31333826
1.565;-11.24898081
1.566;-11.18508154
1.567;-11.12165255
1.568;-11.05870536
1.569;-10.99625087
1.57;-10.93429982
1.571;-10.87286276
1.572;-10.8119498
1.573;-10.75157044
1.574;-10.6917335
1.575;-10.63244756
1.576;-10.57372097
1.577;-10.5155616
1.578;-10.45797662
1.579;-10.40097248
1.58;-10.34455535
1.581;-10.28873109
1.582;-10.23350507
1.583;-10.17888187
1.584;-10.12486526
1.585;-10.0714587
