time;knee_l_on_femur_l_in_tibia_l_fx;knee_l_on_femur_l_in_tibia_l_fy;knee_l_on_femur_l_in_tibia_l_fz;knee_l_on_femur_l_in_tibia_l_mx;knee_l_on_femur_l_in_tibia_l_my;knee_l_on_femur_l_in_tibia_l_mz;knee_l_on_femur_l_in_tibia_l_px;knee_l_on_femur_l_in_tibia_l_py;knee_l_on_femur_l_in_tibia_l_pz
1.205;48.56965359;734.3314354;-5.846871413;1.686642661;-0.603263694;15.87667006;0.005144468;0.454101713;1.39E-17
1.206;48.66154072;732.766458;-5.524312239;1.479581959;-0.588236092;15.80739624;0.005331647;0.454097738;0
1.207;48.70803937;731.1939656;-5.19547706;1.267506442;-0.572893604;15.73762965;0.005488158;0.454094355;2.78E-17
1.208;48.71195815;729.6138223;-4.860964188;1.050892278;-0.557270666;15.67100677;0.005614207;0.454091592;2.78E-17
1.209;48.67368929;728.0222087;-4.528998255;0.836594454;-0.541415905;15.60744643;0.005710004;0.454089469;0
1.21;48.59406087;726.4191066;-4.200168183;0.625106674;-0.525355402;15.54702476;0.005775766;0.454088001;0
1.211;48.5231467;723.7034286;-3.9118459;0.447375645;-0.515108224;15.5285017;0.005811718;0.454087194;-1.39E-17
1.212;48.41318627;720.9808592;-3.617879372;0.265082489;-0.504670842;15.51352232;0.005818089;0.45408705;1.39E-17
1.213;48.26522899;718.2515225;-3.318837877;0.07871932;-0.494064527;15.50214674;0.005795117;0.454087567;0
1.214;48.07983563;715.5121532;-3.022977201;-0.104763548;-0.483343112;15.49424141;0.005743044;0.454088733;0
1.215;47.85800115;712.7614377;-2.730930918;-0.285034654;-0.472506627;15.48984885;0.00566212;0.454090533;1.39E-17
1.216;47.60106523;710.0013149;-2.43825153;-0.465877503;-0.461549434;15.48913346;0.0055526;0.454092947;0
1.217;47.31056788;707.241021;-2.140176462;-0.650258321;-0.450569761;15.49227666;0.005414747;0.454095948;2.78E-17
1.218;46.98623396;704.473627;-1.837575168;-0.838469802;-0.439483343;15.49725735;0.005248826;0.454099506;2.78E-17
1.219;46.62937122;701.6710814;-1.539852876;-1.026248306;-0.428010434;15.50639704;0.005055113;0.454103584;2.78E-17
1.22;46.24436704;698.90148;-1.244263566;-1.205911324;-0.417109478;15.52280241;0.004833887;0.454108141;0
1.221;45.57251624;689.7780429;-1.18326115;-1.230830848;-0.427056504;15.4791322;0.004585433;0.454113133;2.78E-17
1.222;44.86984084;680.3647059;-1.131502905;-1.289578467;-0.433060894;15.43767773;0.00431004;0.454118508;0
1.223;44.14719571;671.0233039;-1.072087038;-1.34339349;-0.440013296;15.39913675;0.004008008;0.454124214;0
1.224;43.44163236;663.2315431;-0.942839482;-1.231004864;-0.467685012;15.36753376;0.003679649;0.454130193;-2.78E-17
1.225;42.71885064;655.9923157;-0.797646417;-1.072137786;-0.50456938;15.33562715;0.003325256;0.454136382;-1.39E-17
1.226;41.92408997;647.456361;-0.725763409;-1.079273193;-0.528149394;15.29186035;0.002945123;0.454142718;1.39E-17
1.227;41.09051949;638.4500671;-0.678599128;-1.152465502;-0.546550437;15.24330783;0.002539572;0.45414913;-1.39E-17
1.228;40.24914991;629.7798977;-0.613887959;-1.192219597;-0.567893259;15.19741842;0.002108938;0.454155548;0
1.229;39.39219084;621.1183432;-0.555171851;-1.227518386;-0.588227677;15.15220498;0.001653547;0.454161897;1.39E-17
1.23;38.51804662;612.3838703;-0.50728997;-1.268126324;-0.606684318;15.10655713;0.001173731;0.454168098;-1.39E-17
